Unnamed: 0,Year / Quarter,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Region,2016 / Q2,2016 / Q3,2016 / Q4,2017 / Q1,2017 / Q2,2017 / Q3,2017 / Q4,2018 / Q1,2018 / Q2,2019 / Q1,2019 / Q2,2019 / Q3,2019 / Q4,2020 / Q1,2020 / Q2,2020 / Q3,2020 / Q4,2021 / Q1,2021 / Q2,2021 / Q3,2021 / Q4,2022 / Q1,2022 / Q2,2022 / Q3,2022 / Q4,2023 / Q1,2023 / Q2
Riyadh,9.33660765329,11.949579857,11.1472669366,11.6259929784,12.7579235988,11.9945838304,14.7378538309,13.9239253711,13.3608630513,11.5946310315,10.1374866082,12.7799126107,12.085300844,14.294704288,12.1909363874,13.9180082977,10.512425155,10.3644897607,9.23377026643,9.17986797824,8.71670381793,7.99910252522,7.45602598985,7.52386329765,6.66184052126,6.794119392,6.57305920492
Makkah,14.6826349403,11.1673020448,10.6246284957,10.5059126544,10.0582018364,10.549845539,9.23371173568,9.44529410636,10.5665043452,9.87411278773,12.614920422,11.0423030579,12.0751096826,11.4506695629,15.4511366509,13.6474097631,12.3727450932,12.7561393593,11.4461406565,11.7825978587,11.6492192829,10.5886715143,10.751504688,10.1460056868,7.03627912525,8.18652715979,8.83025311777
Madinah,14.4871501948,18.7848127559,18.9874724857,21.2237178973,22.2011292966,23.7560259391,23.1325906778,19.8352223897,17.432309781,16.195731776,18.0336005602,14.1477882249,18.6404607456,17.5989755534,11.9013177357,20.4132804736,19.4266222021,13.1672260932,14.7863200974,16.2103515376,15.3022026283,13.611843617,11.3982785569,14.3847344162,12.2067298907,11.8750590207,10.8525204303
Qaseem,7.99002575028,11.4995732388,10.8720461307,12.6205225432,15.7531483006,16.2183478759,15.1346062305,12.6576098275,19.3452585825,7.94116405004,5.07212996318,6.51946665062,4.90993745003,5.18620252885,21.0302425001,19.4962865373,9.65632168477,12.7629604679,9.28156289562,10.9027379685,10.9787458933,11.0555789231,10.4606276432,9.86097666581,7.98504765081,9.06774871142,10.7225837415
Eastern Region,11.1781726557,9.83604309724,10.4637116545,11.4427640343,9.78583418948,6.5681576656,6.05975397775,7.80235980118,6.61494728045,8.87045274855,10.4262372008,9.32207972806,8.53787892715,6.11548901189,11.7371244863,12.0012366384,13.2427083749,10.1300058829,11.0516900387,8.58207058608,9.57029262724,8.07447363443,7.55885275971,8.0965335619,6.85179138081,7.0796453255,6.3735337073
Aseer,7.0056158627,11.3670541196,7.94326811939,7.96167236339,8.08430894011,9.51142551663,9.37104746328,14.9409985278,14.187611923,17.8383707567,11.380091686,13.0456831571,13.7220289349,16.518545763,16.8944889345,16.8505538132,15.6867461229,10.6638300394,11.3979385945,13.6078992589,12.333161815,11.4300444888,11.2191430757,11.9221774233,10.3977175391,9.54669367269,9.28322266608
Tabouk,16.2285817237,15.6059378169,20.4245911959,16.5518536756,16.0712935185,16.6948234569,16.1912669476,15.734794204,14.4551959549,6.74013601632,4.78703604133,4.56578569899,6.83270687606,5.77517512886,26.7633587177,19.8830091988,12.3396184313,17.1774929566,14.9014074077,15.6972580315,14.9876822169,13.1789105002,11.8864119776,10.159150988,8.27062937338,9.12778118142,7.85683275512
Hail,11.6930357655,10.8516349986,16.0897463565,16.8184315341,12.9100148152,14.2611309729,17.0247363753,13.9982124237,16.2232292414,9.14205897976,10.3800741297,7.94025063137,8.10922711035,6.26528097643,22.7353493362,18.0489618487,11.6722475845,12.0464075881,8.72011591403,13.2681788011,12.6486301085,11.8755025289,10.9746386806,14.5628706852,10.7955469943,10.4878096717,9.27945928863
Northern Region,20.2468560782,15.4954038531,17.9643072086,18.7981529509,20.0112012078,16.3649127993,19.0053703421,22.957857607,22.879455945,16.9098411213,10.6759441057,10.7054153311,6.58991876916,5.47261608343,21.1472662874,16.534071955,13.0684835429,8.37513816852,12.088438076,12.843619921,12.3027704423,11.5448423929,13.2188753718,12.2631738146,7.77252393659,11.7265005397,10.8361552488
Jazan,9.7583675707,13.2136196484,20.4253616212,17.5009732338,18.2323224473,19.0954676686,19.383947792,18.6488468747,18.0214287894,24.3455854361,20.8558365933,22.5556333397,15.2097468715,11.6501025398,20.0683047468,16.377368656,12.0440403322,13.4374417329,16.8085353756,13.0468302515,12.2074466116,12.2621719069,12.5380865698,14.2709347614,11.0436312078,11.3028168191,11.9364431613
Najran,7.72172983199,11.1178544593,9.71454282723,10.0329730555,10.2312108377,8.84253447797,7.3742013118,6.96282695365,5.83481824661,16.9112045838,14.5880957089,5.83588624954,10.2755923565,10.122436357,22.7224511693,12.6180073484,11.1081965403,9.41971089611,10.4223959251,11.2523787022,9.06804078725,9.08056810426,8.35528744767,5.81723302479,7.86621745349,7.76991574051,6.74229841111
Al-Baha,11.5182624421,16.1687478657,17.2461241223,16.9791130359,12.7969774672,25.672980161,17.8050373134,14.7999483261,12.7055335583,17.5907608405,18.1380781626,16.7354021226,19.7754058563,14.9347763574,24.4714030351,13.8945742114,20.7834883271,10.5040610587,8.05946446689,11.135642444,12.2664301874,10.2049441615,14.8936023309,14.5898634277,9.24599846108,12.134447267,13.2270005368
Al-Jouf,15.3363572766,13.8277191028,13.6256038389,22.5896613905,26.8313626404,23.604906828,24.5410767601,27.3327577973,28.7573080988,27.5305530458,36.025710728,32.338882947,28.7917014637,32.2769481013,17.6028223105,14.2271982523,7.42078781912,15.5158281637,15.9949726994,15.754903725,16.4991258741,15.332618565,11.3735589895,11.8630316111,9.02529043511,12.8806933543,8.42819432574
Grand Total,11.621120279,12.1389315079,12.347173892,12.6506697727,12.8204721936,12.8201387259,12.834522668,12.903556584,12.9443519125,12.5205997209,12.3026780842,12.0294439978,12.0178731206,11.7829026006,15.4473189058,14.9191401337,12.6262206543,11.6518481044,11.2759880093,11.2560880537,11.0380907328,10.0517153537,9.66592448833,9.89613801036,7.95314446317,8.45581883427,8.29828232833
